gene,status,insdens
G1,0,0.006493506
G2,1,0.001481481
G3,0,0.017094017
G4,0,0.003205128
G5,1,0.000560695
G6,0,0.002840909
G7,0,0.005081301
G8,1,0.001051525
G9,0,0.009009009
G10,0,0.005494505
G11,0,0.008333333
G12,1,0.00130719
G13,0,0.002070393
G14,1,0.000775194
G15,0,0.001430615
G16,0,0.0041841
G17,0,0.001792115
G18,0,0.004397537
G19,0,0.004514673
G20,1,0.001847746
G21,0,0.003623188
G22,0,0.012012012
G23,0,0.002267574
G24,1,0.001165501
G25,0,0.004504505
G26,1,0.002057613
G27,1,0.001484781
G28,1,0.000793651
G29,0,0.008574491
G30,0,0.011695906
G31,0,0.006060606
G32,1,0.002406739
G33,0,0.00212766
G34,0,0.013071895
G35,1,0.001169591
G36,1,0.001145475
G37,0,0.001821494
G38,0,0.002673797
G39,0,0.006944444
G40,0,0.008264463
G41,1,0.001770695
G42,0,0.011067708
G43,0,0.010526316
G44,0,0.001855288
G45,0,0.010619469
G46,0,0.011851852
G47,0,0.01119403
G48,0,0.005734767
G49,0,0.00990099
G50,1,0.00101626
G51,1,0.001515152
G52,0,0.00307574
G53,0,0.005208333
G54,0,0.005324814
G55,1,0.001626016
G56,0,0.006060606
G57,0,0.004357298
G58,0,0.004153686
G59,0,0.024054983
G60,1,0.001145475
G61,0,0.003427592
G62,0,0.009548611
G63,1,0.002229654
G64,0,0.005208333
G65,1,0.001194743
G66,0,0.002604167
G67,1,0.002570694
G68,0,0.004920049
G69,1,0.000986193
G70,0,0.003971035
G71,0,0.012138189
G72,0,0.007584376
G73,0,0.008928571
G74,0,0.008658009
G75,0,0.007731959
G76,0,0.002314815
G77,0,0.000980392
G78,0,0.007751938
G79,0,0.004444444
G80,0,0.005208333
G81,1,0.003968254
G82,0,0.018726592
G83,0,0.011299435
G84,1,0.001312336
G85,0,0.002941176
G86,0,0.006349206
G87,0,0.038596491
G88,1,0.00203252
G89,0,0.002424242
G90,1,0.001092896
G91,0,0.005747126
G92,1,0.004140787
G93,1,0.00110011
G94,0,0.006006006
G95,0,0.018803419
G96,1,0.001424501
G97,1,0.002949853
G98,0,0.01068999
G99,0,0.004329004
G100,0,0.010080645
G101,1,0.002070393
G102,1,0.001031992
G103,0,0.020304569
G104,1,0.002415459
G105,0,0.014925373
G106,1,0.001157407
G107,0,0.005464481
G108,0,0.002849003
G109,0,0.01826484
G110,0,0.019665683
G111,0,0.001862197
G112,1,0.002020202
G113,0,0.000949668
G114,0,0.002197802
G115,1,0.000773395
G116,0,0.001233046
G117,1,0.001299545
G118,0,0.001888574
G119,1,0.000442674
G120,0,0.003531073
G121,0,0.005649718
G122,1,0.000397298
G123,0,0.003683241
G124,1,0.000913242
G125,0,0.004489338
G126,1,0.001670844
G127,0,0.01826484
G128,0,0.002487562
G129,0,0.008333333
G130,0,0.009208103
G131,1,0.001169591
G132,0,0.002710027
G133,1,0.00178731
