gene,status,insdens
G1,0,0.023809524
G2,1,0.003325942
G3,0,0.002008032
G4,1,0.000468165
G5,1,0.005698006
G6,1,0.005376344
G7,0,0.005
G8,1,0.001731602
G9,0,0.002721088
G10,1,0.001960784
G11,0,0.005434783
G12,0,0.007092199
G13,1,0.006605691
G14,0,0.007751938
G15,1,0.001638002
G16,0,0.003724395
G17,1,0.000803213
G18,0,0.002103049
G19,1,0.001054852
G20,1,0.003144654
G21,0,0.031746032
G22,0,0.011019284
G23,0,0.008032129
G24,0,0.003384095
G25,0,0.007469655
G26,1,0.001650165
G27,0,0.003003003
G28,1,0.002057613
G29,0,0.005970149
G30,0,0.012012012
G31,1,0.001248439
G32,0,0.003418803
G33,1,0.002838605
G34,0,0.002237136
G35,1,0.002688172
G36,0,0.002207506
G37,1,0.002659574
G38,0,0.012411348
G39,0,0.003205128
G40,0,0.00110011
G41,1,0.003745318
G42,0,0.001248439
G43,0,0.003284072
G44,1,0.001754386
G45,1,0.000684463
G46,0,0.011255411
G47,1,0.000512033
G48,0,0.002604167
G49,0,0.007054674
G50,1,0.002298851
G51,0,0.007806401
G52,1,0.002070393
G53,1,0.001754386
G54,0,0.001683502
G55,0,0.007462687
G56,1,0.000594707
G57,0,0.008658009
G58,1,0.002624672
G59,1,0.002076843
G60,0,0.006122449
G61,0,0.012
G62,1,0.002614379
G63,0,0.002389486
G64,0,0.012531328
G65,1,0.005747126
G66,1,0.001465201
G67,1,0.001064963
G68,0,0.001344086
G69,1,0.001464129
G70,0,0.001355014
G71,1,0.004204625
G72,1,0.001709402
G73,0,0.001650165
G74,0,0.004415011
G75,1,0.002710027
G76,0,0.007909605
G77,0,0.006410256
G78,1,0.000773395
G79,0,0.009689922
G80,0,0.003030303
G81,1,0.002070393
G82,0,0.008830022
G83,0,0.007092199
G84,1,0.001841621
G85,1,0.001675042
G86,0,0.00257732
G87,1,0.003384095
G88,0,0.010945274
G89,1,0.002207506
G90,0,0.000750751
G91,1,0.000560695
G92,0,0.00152439
G93,1,0.00155521
G94,0,0.001113586
G95,0,0.00562249
G96,1,0.001851852
G97,0,0.015873016
G98,1,0.003921569
G99,0,0.009146341
G100,1,0.003215434
G101,1,0.001926782
G102,1,0.001841621
G103,0,0.002178649
G104,1,0.001064963
G105,0,0.006071645
G106,1,0.002677376
G107,1,0.000602773
G108,0,0.002428658
G109,0,0.009310987
G110,1,0.000923361
G111,0,0.004259851
G112,0,0.026315789
G113,1,0.000923361
G114,0,0.010007698
G115,1,0.001068376
G116,0,0.001028807
G117,1,0.000748223
G118,0,0.007017544
G119,1,0.003284072
G120,0,0.014749263
G121,1,0.005050505
G122,0,0.005606953
G123,0,0.007963595
G124,1,0.00141844
G125,0,0.002076843
G126,1,0.001064963
G127,0,0.012003693
G128,1,0.002427184
G129,1,0.001474926
G130,0,0.012953368
G131,1,0.004789272
G132,1,0.000374111
G133,1,0.00070922
G134,0,0.001650165
G135,0,0.004514673
G136,1,0.000933707
G137,0,0.004953999
G138,0,0.00204499
G139,1,0.002070393
